Agemos,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
76.5,13.53710097,13.72145289,14.02782718,14.61359223,15.40943252,16.43259653,17.12166319,17.66696377,18.63563816,19.4055104
77.5,13.53412147,13.71926775,14.02714319,14.61645307,15.41868691,16.45314588,17.15205629,17.70658129,18.69512904,19.48434431
78.5,13.53168472,13.71769094,14.0271705,14.62020097,15.42902273,16.47495885,17.18380454,17.74761885,18.75617288,19.56489823
79.5,13.52979573,13.71672458,14.027907,14.62482705,15.44042439,16.49801329,17.21688072,17.7900437,18.81872078,19.64710224
80.5,13.52845994,13.71637124,14.02935081,14.63032238,15.45287581,16.52228624,17.25125697,17.83382275,18.88272474,19.7308886
81.5,13.5276813,13.71663233,14.03149952,14.63667844,15.46636218,16.54775649,17.28690708,17.87892434,18.948137,19.81618799
82.5,13.52746565,13.71751078,14.03435159,14.64388639,15.48086704,16.57440029,17.32380254,17.9253152,19.01491107,19.902936
83.5,13.52781794,13.71900887,14.03790521,14.65193763,15.49637465,16.6021948,17.3619157,17.97296286,19.08300081,19.99106797
84.5,13.52874305,13.72112886,14.0421586,14.66082372,15.51286936,16.6311172,17.40121891,18.02183493,19.15236073,20.08052042
85.5,13.53024568,13.72387293,14.04710998,14.67053629,15.53033563,16.66114466,17.44168456,18.07189919,19.22294589,20.17123104
86.5,13.53233036,13.72724315,14.05275762,14.68106712,15.54875807,16.69225445,17.48328513,18.12312353,19.29471191,20.2631386
87.5,13.53500147,13.7312415,14.05909975,14.69240809,15.56812143,16.72442396,17.52599317,18.17547605,19.36761493,20.35618297
88.5,13.53826314,13.73586983,14.06613458,14.7045512,15.58841065,16.7576307,17.56978138,18.22892501,19.44161165,20.45030507
89.5,13.54211938,13.7411299,14.0738604,14.71748869,15.60961101,16.79185246,17.61462266,18.28343882,19.51665894,20.54544624
90.5,13.54657375,13.74702309,14.08227508,14.73121238,15.63170735,16.82706672,17.66048985,18.33898626,19.59271539,20.64155132
91.5,13.55162988,13.753551,14.091377,14.74571498,15.65468563,16.86325188,17.70735632,18.39553611,19.6697383,20.73856241
92.5,13.55729098,13.7607148,14.10116411,14.76098876,15.67853139,16.90038609,17.75519541,18.45305756,19.74768666,20.83642509
93.5,13.56356006,13.76851558,14.1116344,14.77702622,15.70323052,16.9384478,17.80398077,18.51151998,19.82651963,20.93508525
94.5,13.57043987,13.77695423,14.12278578,14.79381994,15.72876911,16.97741575,17.85368626,18.57089304,19.90619689,21.03448975
95.5,13.57793291,13.78603145,14.13461608,14.81136258,15.75513347,17.01726889,17.90428602,18.63114669,19.98667859,21.13458634
96.5,13.58604144,13.79574779,14.14712305,14.82964685,15.78231007,17.05798645,17.95575444,18.69225117,20.06792538,21.2353237
97.5,13.59476742,13.80610355,14.16030433,14.84866554,15.8102856,17.09954792,18.00806622,18.75417705,20.1498984,21.33665138
98.5,13.60411246,13.81709878,14.17415743,14.86841153,15.83904708,17.14193325,18.06119653,18.81689537,20.23255928,21.4385195
99.5,13.61407844,13.82873375,14.18867999,14.88887764,15.86858123,17.18512191,18.1151201,18.8803769,20.31587026,21.54088032
100.5,13.62466611,13.84100784,14.20386916,14.91005687,15.89887562,17.22909475,18.16981303,18.94459357,20.39979379,21.64368493
101.5,13.63587653,13.85392068,14.21972223,14.93194218,15.92991765,17.2738323,18.22525119,19.00951733,20.48429323,21.74688677
102.5,13.64771054,13.86747174,14.23623642,14.95452659,15.96169481,17.31931519,18.28141055,19.07512019,20.56933216,21.85043987
103.5,13.66016853,13.88166013,14.25340873,14.97780313,15.99419489,17.36552463,18.33826774,19.14137485,20.6548748,21.95429887
104.5,13.67325038,13.89648454,14.27123591,15.00176488,16.02740607,17.4124424,18.39579999,19.20825462,20.74088584,22.05841878
105.5,13.68695684,13.91194439,14.28971516,15.02640489,16.0613159,17.46004925,18.45398355,19.27573205,20.82733059,22.16275742
106.5,13.70128712,13.92803786,14.30884292,15.05171626,16.09591292,17.50832768,18.51279647,19.34378135,20.9141748,22.26727123
107.5,13.71624103,13.94476358,14.32861592,15.07769209,16.13118532,17.55725951,18.57221621,19.41237631,21.00138483,22.37191887
108.5,13.73181676,13.9621189,14.3490301,15.10432556,16.16712234,17.60682848,18.63222223,19.48149248,21.08892746,22.47665729
109.5,13.7480147,13.98010297,14.37008248,15.13160968,16.20371168,17.65701563,18.69279128,19.55110329,21.17677023,22.58144893
110.5,13.76483325,13.99871328,14.39176909,15.15953759,16.24094239,17.70780444,18.75390266,19.62118443,21.26488107,22.68625363
111.5,13.78227084,14.01794738,14.41408598,15.1881024,16.27880346,17.75917825,18.81553565,19.69171163,21.3532285,22.79103265
112.5,13.80032593,14.03780282,14.43702918,15.21729722,16.31728385,17.81112044,18.87766958,19.76266083,21.44178165,22.89574847
113.5,13.81899666,14.0582769,14.46059456,15.2471151,16.35637267,17.86361469,18.94028419,19.83400841,21.53051015,23.00036429
114.5,13.83828098,14.07936677,14.48477791,15.27754914,16.39605916,17.91664493,19.00335954,19.90573115,21.61938426,23.10484416
115.5,13.85817663,14.10106937,14.50957485,15.30859238,16.43633265,17.97019532,19.06687603,19.97780623,21.70837477,23.20915296
116.5,13.87868113,14.1233815,14.53498094,15.34023785,16.47718256,18.02425026,19.13081436,20.05021121,21.79745308,23.31325641
117.5,13.8997918,14.14629977,14.56099157,15.37247856,16.51859843,18.0787944,19.19515554,20.12292406,21.88659115,23.41712109
118.5,13.92150576,14.16982063,14.58760204,15.40530752,16.56056987,18.13381258,19.25988094,20.19592313,21.97576153,23.5207144
119.5,13.94381995,14.19394037,14.61480754,15.43871766,16.60308661,18.1892899,19.3249722,20.26918717,22.06493737,23.62400462
120.5,13.96673109,14.21865508,14.64260311,15.47270195,16.64613844,18.24521166,19.3904113,20.34269534,22.15409238,23.72696086
121.5,13.99023581,14.24396081,14.67098376,15.50725326,16.68971518,18.3015633,19.45618042,20.41642709,22.24320091,23.82955322
122.5,14.01433021,14.26985313,14.6999442,15.5423645,16.73380695,18.35833084,19.52226247,20.49036263,22.33223786,23.93175206
123.5,14.0390107,14.29632789,14.72947925,15.57802849,16.77840363,18.41549995,19.58864006,20.56448202,22.42117875,24.0335295
124.5,14.06427317,14.32338048,14.75958347,15.61423805,16.82349538,18.4730569,19.65529649,20.63876611,22.5099997,24.1348579
125.5,14.09011344,14.35100623,14.79025137,15.65098595,16.86907238,18.53098805,19.72221531,20.71319602,22.59867744,24.23571063
126.5,14.11652711,14.37920031,14.8214773,15.68826493,16.91512487,18.58928,19.78938034,20.78775327,22.68718928,24.33606191
127.5,14.14350962,14.40795771,14.85325552,15.72606768,16.96164317,18.64791953,19.85677572,20.86241981,22.77551316,24.43588681
128.5,14.17105623,14.43727329,14.88558018,15.76438688,17.00861766,18.70689364,19.92438591,20.93717795,22.86362762,24.53516127
129.5,14.19916203,14.46714175,14.91844531,15.80321513,17.05603879,18.76618951,19.99219565,21.01201043,22.95151182,24.63386207
130.5,14.22782193,14.49755765,14.95184482,15.84254502,17.10389705,18.82579454,20.06019002,21.08690037,23.03914551,24.73196683
131.5,14.25703066,14.52851537,14.98577251,15.8823691,17.15218302,18.88569633,20.12835437,21.1618313,23.12650908,24.82945404
132.5,14.28678279,14.56000917,15.02022206,15.92267985,17.20088732,18.94588267,20.19667437,21.23678716,23.21358351,24.92630305
133.5,14.31707271,14.59203313,15.05518706,15.96346973,17.25000062,19.00634155,20.265136,21.31175226,23.30035043,25.02249405
134.5,14.34789463,14.62458122,15.09066095,16.00473115,17.29951367,19.06706116,20.33372554,21.38671134,23.38679204,25.11800807
135.5,14.37924262,14.65764722,15.1266371,16.04645648,17.34941726,19.12802987,20.40242956,21.46164953,23.4728912,25.21282703
136.5,14.41110933,14.69122381,15.16310811,16.08863812,17.39970308,19.18923776,20.4712365,21.53655365,23.55863129,25.3069313
137.5,14.44349038,14.72530601,15.20006805,16.13126821,17.45036072,19.25067129,20.54013114,21.61140764,23.64399652,25.40030815
138.5,14.47637861,14.75988661,15.23750958,16.17433905,17.50138161,19.31232029,20.60910189,21.6861986,23.72897155,25.49294066
139.5,14.50976741,14.79495883,15.27542561,16.21784281,17.55275674,19.37417388,20.6781365,21.76091323,23.81354171,25.58481418
140.5,14.54365005,14.83051578,15.31380892,16.26177162,17.60447714,19.43622137,20.74722303,21.83553865,23.89769296,25.67591492
141.5,14.57801961,14.86655039,15.3526522,16.30611758,17.6565339,19.49845226,20.81634983,21.91006237,23.98141187,25.76622996
142.5,14.61286903,14.90305549,15.39194804,16.35087272,17.70891811,19.5608562,20.88550554,21.98447229,24.06468566,25.85574725
143.5,14.6481911,14.94002374,15.43168891,16.39602903,17.76162094,19.62342306,20.95467909,22.05875672,24.14750216,25.94445561
144.5,14.68397844,14.97744768,15.47186716,16.44157847,17.81463359,19.68614286,21.02385969,22.13290433,24.22984982,26.0323447
145.5,14.72022354,15.01531973,15.51247506,16.48751291,17.86794729,19.74900579,21.09303687,22.20690421,24.31171774,26.11940509
146.5,14.75691872,15.05363215,15.55350476,16.53382421,17.92155332,19.81200224,21.1622004,22.28074585,24.39309562,26.20562819
